Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Bulgari;Automatic;Rose gold;Leather;;New;Original box, original papers;Women's watch;27000.0;Item is in stock;Circular;427.4325;;Sapphire crystal;Gold;Brown;Buckle;265.0;1469.0;1;0;1;195.0
Swatch;Automatic;Plastic;Textile;2023.0;New;Original box, original papers;Men's watch/Unisex;650.0;Item is in stock;Circular;81.3888;9.0;Mineral Glass;Black;Black;Buckle;288.0;108.0;0;0;1;149.0
Squale;Quartz;Steel;Steel;1990.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;540.0;Item is in stock;Circular;566.77;;;Black;Steel;;;;0;0;0;
Zeno-Watch Basel;Automatic;Steel;Leather;;New;No original box, no original papers;Men's watch/Unisex;2530.0;Item is in stock;Rectangular;1961.0;3.0;Mineral Glass;Black;Black;Buckle;579.0;451.0;1;1;1;359.0
Venezianico;Automatic;Steel;Rubber;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;1290.0;Item is in stock;Rectangular;2058.0;20.0;Sapphire crystal;Blue;Blue;Buckle;;;0;0;0;
Glycine;Automatic;Yellow gold;Crocodile skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;1500.0;Item is in stock;Circular;245.3125;;Glass;Silver;Brown;Buckle;1461.0;345.0;1;1;1;1007.0
Fortis;Automatic;Titanium;Titanium;2024.0;New;Original box, original papers;Men's watch/Unisex;7345.0;Item available on request;Circular;628.0;20.0;Sapphire crystal;Blue;;;4592.0;517.0;1;1;1;3952.0
Nivada;Automatic;Steel;Rubber;;New;Original box, original papers;Men's watch/Unisex;1005.0;Item needs to be procured;Circular;566.77;10.0;Sapphire crystal;Black;Brown;Buckle;3108.0;737.0;0;1;1;2199.0
Junghans;Automatic;Gold/Steel;Calf skin;1960.0;Used (Good);No original box, no original papers;Men's watch/Unisex;313.0;Item is in stock;Circular;440.48312500000003;;Plastic;Gold (solid);Black;Buckle;722.0;500.0;1;0;1;548.0
Zeppelin;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2106.0;Item needs to be procured;Circular;725.7325000000001;10.0;Sapphire crystal;Champagne;Black;Buckle;399.0;181.0;0;1;1;291.0
Bulgari;Automatic;Steel;;;Used (Very good);Original box, original papers;Men's watch/Unisex;9900.0;Item is in stock;Circular;692.37;;Sapphire crystal;;;;2038.0;293.0;1;1;1;1659.0
Grand Seiko;Automatic;Steel;Steel;2024.0;Used (Very good);Original box, original papers;Men's watch/Unisex;6000.0;Item is in stock;Circular;628.0;;Sapphire crystal;Grey;Steel;Fold clasp;627.0;69.0;1;1;1;461.0
Margi;Automatic;Yellow gold;Yellow gold;;New;Original box, original papers;Men's watch/Unisex;15071.0;Item is in stock;Circular;480.8125;;Glass;Gold;Gold;Fold clasp;19.0;25.0;0;0;1;11.0
TW Steel;Quartz;Steel;Calf skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;215.0;Item is in stock;Circular;794.8125;10.0;Mineral Glass;Black;Black;Buckle;14626.0;5551.0;1;1;1;7424.0
Bovet;Automatic;Steel;Crocodile skin;;Used (Very good);Original papers, no original box;Men's watch/Unisex;11668.0;Item needs to be procured;;;;;White;;;919.0;3486.0;1;1;1;787.0
Breitling;Automatic;Steel;Steel;2017.0;Used (Good);No original box, no original papers;Men's watch/Unisex;3500.0;Item is in stock;Circular;830.5300000000001;20.0;Sapphire crystal;Black;Black;Fold clasp;6.0;21.0;1;1;1;5.0
Hermès;Quartz;Steel;Steel;;Used (Fair);Original box, original papers;Men's watch/Unisex;604.0;Item is in stock;Circular;377.1925;;;Grey;;;17847.0;12116.0;1;1;1;12521.0
Technomarine;;Steel;;;Used (Good);No original box, no original papers;Women's watch;1047.0;Item is in stock;;;;;;;;172.0;165.0;1;1;1;108.0
Raymond Weil;Automatic;Steel;Leather;;Used (Very good);Original box, original papers;;1995.0;Item is in stock;Circular;692.37;10.0;;Black;Black;;615.0;417.0;1;0;1;527.0
