Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Crystal;Dial;Bracelet color;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews;age;is_modern;price_log;seller_reputation_score;scope_score;price_anomaly_low;price_anomaly_high;seller_consistent
Gucci;Quartz;Steel;Rubber;2019.0;Used (Good);Original box, original papers;Men's watch/Unisex;390.0;Item is in stock;Circular;794.8125;Sapphire crystal;Black;Black;37.0;195.0;1;1;1;26.0;7.0;1;5.968707559985366;1.0;3;0;0;0
Girard Perregaux;Automatic;Steel;Leather;2021.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;14175.0;Item needs to be procured;Rectangular;1037.5;Sapphire crystal;Black;Black;777.0;980.0;1;1;1;524.0;5.0;1;9.559305672844863;1.0;0;0;0;0
Philip Watch;Automatic;Steel;Leather;2002.0;Used (Very good);Original box, original papers;Men's watch/Unisex;702.0;Item is in stock;Circular;659.7925;Sapphire crystal;Black;Brown;580.0;419.0;0;0;0;448.0;24.0;1;6.555356891810665;0.0;3;0;0;1
Squale;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1457.0;Item is in stock;Circular;759.88;Sapphire crystal;Black;Black;4592.0;517.0;1;1;1;3952.0;2.0;1;7.284820912568604;1.0;3;0;0;1
Ingersoll;Automatic;Steel;Gold-plated;2020.0;Used (Good);Original box, no original papers;Men's watch/Unisex;370.0;Item is in stock;Circular;794.8125;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;6.0;1;5.916202062607435;0.0;2;0;0;1
Zeno-Watch Basel;Automatic;Steel;Leather;2020.0;New;Original box, original papers;Men's watch/Unisex;1602.0;Item is in stock;Circular;867.0325;Sapphire crystal;Black;Black;2028.0;450.0;0;1;1;1396.0;6.0;1;7.3796321526095525;0.6666666666666666;3;0;0;1
Citizen;Quartz;Steel;Leather;2021.0;New;Original box, original papers;Men's watch/Unisex;1499.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;733.0;404.0;1;0;1;440.0;5.0;1;7.313220387090301;0.6666666666666666;3;0;0;1
Locman;Quartz;Titanium;Rubber;2016.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;270.0;Item is in stock;Circular;759.88;Sapphire crystal;Grey;Black;580.0;419.0;0;0;0;448.0;10.0;1;5.602118820879701;0.0;3;0;0;1
Elgin;Automatic;Steel;Steel;1970.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1150.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Silver;Steel;94.0;89.0;0;1;1;69.0;56.0;0;7.048386408721883;0.6666666666666666;0;0;0;1
Doxa;Automatic;Steel;Rubber;2024.0;New;Original box, original papers;Men's watch/Unisex;1675.0;Item is in stock;Rectangular;1618.5;Sapphire crystal;White;White;357.0;206.0;1;0;1;311.0;2.0;1;7.424165281042028;0.6666666666666666;3;0;0;1
Tecnotempo;Automatic;Steel;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;508.0;Item is in stock;Rectangular;560.0;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;3.0;1;6.2324480165505225;0.0;3;0;0;1
Orient;Automatic;Steel;Steel;2023.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;70.0;Item is in stock;Rectangular;1476.0;Sapphire crystal;Black;Steel;580.0;419.0;0;0;0;448.0;3.0;1;4.2626798770413155;0.0;0;0;0;1
Hanhart;Manual winding;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2334.0;Item needs to be procured;Rectangular;2089.5;Sapphire crystal;Black;Steel;1072.0;1397.0;1;1;1;940.0;2.0;1;7.755767170102998;1.0;3;0;0;0
